lastname	forename	initials	query
Allan	Alison	ALA	Allan, Alison L
Allman	Brian	BLA	Allman, Brian L
Barbeau	Michele	MLB	Barbeau, Michele L
Berube	Nathalie	NGB	Berube, Nathalie G
Beveridge	Tyler	TSB	Beveridge, Tyler S
Brown	Arthur	AB	Brown, Arthur AND Canada
Cechetto	David	DFC	Cechetto, David F
Deweyert	Andrew	AD	Deweyert, Andrew
Dumeaux	Vanessa	VD	Dumeaux, Vanessa
De Ribaupierre	Sandrine	SDR	de Ribaupierre, Sandrine
Duennwald	Martin	MLD	Duennwald, Martin L
Farias	Anna	AF	Farias, Anna
Flynn	Lauren	LEF	Flynn, Lauren E
Haddad	Faraj	FLH	Haddad, Faraj L
Hamilton	Douglas	DWH	Hamilton, Douglas W
Han	Victor	VKH	Han, Victor K
Hoffman	Lisa	LMH	Hoffman, Lisa M
Khokhar	Jibran	JYK	Khokhar, Jibran Y
Laird	Dale	DWL	Laird, Dale W
Lajoie	Patrick	PL	Lajoie, Patrick
Lala	Peeyush	PKL	Lala, Peeyush K
Laviolette	Steven	SRL	Laviolette, Steven R
Martin	Charys	CMM	Martin, Charys M
McLean	Sarah	SML	McLean, Sarah and Canada
Mendez	Adrian	AIM	Mendez, Adrian and Canada
Mitchell	Derek	DGVM	Mitchell, Derek G V
Moore	Corey	CCM	Moore, Corey C
Mottola	Michelle	MFM	Mottola, Michelle F
Parsyan	Armen	AP	Parsyan, Armen
Penuela	Silvia	SP	Penuela, Silvia and Canada
Prado	Marco	MAMP	Prado, Marco A M
Prado	Vania	VFP	Prado, Vania F
Rajakumar	Raj	NR	Rajakumar, Nagalingam
Renaud	Stephen	SJR	Renaud, Stephen J
Rice	Charles	CLR	Rice, Charles L
Rogers	Kem	KAR	Rogers, Kem A
Rushlow	Walter	WR	Rushlow, Walter
Schmid	Susanne	SS	Schmid, Susanne and Canada
Shepherd	Trevor	TGS	Shepherd, Trevor G
Sposato	Luciano	LAS	Sposato, Luciano A
Walton	Paul A.	PAW	Walton, Paul A
Whitehead	Shawn	SNW	Whitehead, Shawn N
Willmore	Katherine	KEW	Willmore, Katherine E
Wilson	Tim	TDW	Wilson, Timothy D
Wood	Katelyn	KNW	Wood, Katelyn N
Yuen	Jenna	JJY	Yuen, Jenna J
