lastname	forename	initials	query	count
Mohamad	Ahmad			0
Arif	Al-Areibi	AAA	Arif, Al-Areibi	1
Al-Nahdi	Saleh	SAN	Al-Nahdi, Saleh	1
Alfaro	Hilda	HA	Alfaro, Hilda	5
Antoniou	Andreas	AA	Antoniou, andreas and perioperative	1
Arango	Miguel	MFA	Arango, Miguel F	7
Armstrong	Kevin	KPA	Armstrong, Kevin and Canada	18
Armstrong	Paidrig	PMA	Armstrong, Paidrig	6
Bainbridge	Daniel	DTB	Bainbridge, Daniel	113
Banik	Sujoy	SB	Banik, Sujoy	16
Batohi	Pravin	PB	Batohi, Pravin	1
Bellingham	Geoff	GAB	Bellingham, Geoff	13
Biswas	Abhijit	AB	Biswas, Abhijit and Canada	3
Borger	Jonathan	JB	Borger, Jonathan	1
Briskin	Alexander	AB	Briskin, Alexander	4
Brookes	Jonathan	JB	Brookes, Jonathan	5
Bruni	Ida	IB	Bruni, Ida	2
Butler	Ron	RB	Butler, Ron	2
Casas Lopez	Catalina	CCL	Casas Lopez, Catalina	2
Cave	Anita	ALC	Cave, Anita	2
Cherry	Richard	RAC	Cherry, Richard A	7
Chin	Melissa	MC	Chin, Melissa and Canada	3
Chui	Jason	JC	Chui, Jason	44
Church	Brian	BC	Church, Brian and Canada	3
Clarke	Collin	CFC	Collin Clarke[Author]	18
Cubillos	Javier	JEC	Javier Cubillos[Author]	16
Desai	Tejal	TVD	Tejal V Desai[Author]	1
Dhir	Achal	AD	Achal Dhir[Author]	22
Dhir	Shalini	SD	Shalini Dhir[Author]	23
Dobrowlanski	Aldo	AD	Ariel Dobrowlanski[Author]	1
Espinosa	Aldo	AE	Aldo Espinosa[Author]	1
Fantillo	Vanessa	VF	Vanessa Fantillo[Author]	1
Fujii	Satoru	SF	Satoru Fujii[Author] and Canada	24
Fuller	John	JF	John Fuller[Author] and Canada NOT John C Fuller NOT John D Fuller	9
Giraldo	Mauricio	MG	Mauricio Giraldo[Author] and Canada	1
Gonzalez	Nelson	NG	Nelson Gonzalez[Author] and Canada	4
Gordon	Neil			0
Granton	Jeff	JG	Jeff Granton[Author]	5
Gros	Michelle	MG	Michelle Gros[Author]	1
Hansebout	Christopher	CH	Christopher Hansebout[Author] NOT Hansebout CR	1
Harle	Christopher	CCH	Christopher C Harle[Author]	15
Hegazy	Ahmed	AFH	Ahmed F Hegazy[Author]	12
Hoogstra	Jason	JH	Jason Hoogstra[Author]	3
Iglesias	Ivan	II	Ivan Iglesias[Author]	21
Karuppiah	Niveditha	NK	Niveditha Karuppiah[Author]	2
Katsiris	Sandra	SK	Sandra Katsiris[Author]	2
Kerr	Daryl	DK	Daryl Kerr[Author]	2
Kumar	Kamal	KK	Kamal Kumar[Author] and Canada	12
Lavi	Ronit	RL	Ronit Lavi[Author] and Canada	24
Leeper	Terrence	TJL	Terrence Leeper[Author]	2
Lin	Cheng	CL	"Cheng Lin[Author] and ""Western University"""	8
Lohse	Jana	JL	Jana Lohse[Author]	4
Ludwig	Nathan	NL	Nathan Ludwig[Author]	2
Mack	Peter	PM	Peter Mack[Author] and Canada	1
Marmai	Kristine	KLM	Kristine L Marmai[Author]	2
Martin	Janet	JEM	Janet Martin[Author] and Canada	105
McCabe	Greg	GMC	Greg McCabe[Author]	1
McNamara	Jeffrey			0
Mendoza	Eduardo			0
Misurati	Mohammad			0
Morrison	Stephen			0
Murkin	John	JMM	John Murkin[Author]	83
Nagappa	Mahesh	MN	Mahesh Nagappa[Author]	59
Nair	Gopakumar	GN	Gopakumar Nair[Author] and Canada	1
Newton	Peter			0
Nicolaou	George	GN	George Nicolaou[Author]	4
Noppens	Ruediger	RRN	Ruediger Noppens[Author]	25
Ower	Katherine	KO	Katherine Ower[Author]	2
Payne	Sonja	SMP	Sonja Payne[Author]	5
Poolacherla	Raju	RP	Raju Poolacherla[Author]	7
Puentes	Wilfredo	WP	Wilfredo Puentes[Author]	4
Rachinsky	Maxim	MR	Maxim Rachinsky[Author]	10
Railton	Craig	CR	Craig Railton[Author]	7
Rajarathinam	Manikandan	MR	Manikandan Rajarathinam[Author]	8
Rice	Amy			0
Sadkhan	Hussein			0
Schulz	Valerie	VMS	Valerie Schulz[Author]	26
Sebbag	Ilana	IS	Ilana Sebbag[Author]	8
Sefein	Osama	OSSS	Osama Sefein[Author]	2
Sehmbi	Herman	HS	Herman Sehmbi[Author]	22
Shah	Ushma	US	Ushma Shah[Author] NOT Shah UJ	9
Simon	Gary	GS	Gary Simon[Author] AND Canada NOT Simon GL	1
Singh	Indu	SIS	S Indu Singh[Author]	11
Smith	David			0
Sommerfreund	David	DS	David Sommerfreund[Author]	1
St-Amand	Marc	MSA	Marc St-Amand[Author]	2
Subramani	Yamini	YS	Yamini Subramani[Author]	18
Symons	Tammy	TS	Tammy Symons[Author]	1
Szoke	Daniel	DJS	Daniel J Szoke[Author]	3
Tachibana	Ricardo	RHT	Ricardo Tachibana[Author]	2
Taneja	Ravi	RT	Ravi Taneja[Author]	25
Tawfic	Qutaiba	QAT	Qutaiba Tawfic[Author]	28
Tryphonopoulos	Takis	PT	Peter Tryphonopoulos[Author]	4
Turkstra	Tim			0
Van Doormaal	Curtis			0
Vannelli	Tony	TV	T Vannelli[Author] and Canada	2
Vergel de Dios	Jennifer	JVD	Jennifer Vergel de Dios[Author]	3
Vissa	Deepti	DV	Deepti Vissa[Author]	3
Watson	Jim	JW	Jim Watson[Author] and Canada	4
Yang	Homer	HYHY	Homer Yang[Author]	52
Youssef	Hesham	HY	Hesham Youssef[Author] and Canada	2
Zamper	Raffael	RPCZ	Raffael Zamper[Author]	11
Zidan	Hamza			0
