lastname	firstname	initials	query
Stranges	Saverio	SS	Stranges, Saverio
Ali	Shehzad	SA	Shehzad Ali and Canada
Anderson	Kelly	KKA	Anderson, Kelly K
Campbell	M. Karen	MKC	Campbell, M Karen
Choi	Yun-Hee	YHC	Choi, Yun-Hee and Canada
Donner	Allan	AD	Donner, Allan and Canada
Espin Garcia	Osvaldo	OEG	Espin-Garcia, Osvaldo
Gagnier	Joel	JJG	Gagnier, Joel J
Heisel	Marnin	MJH	Heisel, Marnin J
John-Baptiste	Ava	AJB	John-Baptiste, Ava
Kalisa	Egide	EK	Kalisa, Egide
Kandala	Ngianga-Bakwin	NBK	Kandala, Ngianga-Bakwin
Karp	Igor	IK	Karp, Igor
Klar	Neil	NK	Klar, Neil
Koval	John	JJK	Koval, John J
Lizotte	Dan	DJL	Lizotte, Daniel J
Malvankar	Monali	MSMM	Malvankar-Mehta, M S
Martin	Janet	JEM	Martin, Janet and Canada
Mathews	Maria	MM	Mathews, Maria
Redvers	Nicole	NR	Redvers, Nicole
Ryan	Bridget	BLR	Ryan, Bridget L
Sarma	Sisira	SS	Sarma, Sisira
Seabrook	Jamie	JAS	Seabrook, Jamie A
Speechley	Kathy	KNS	Speechley, Kathy N
Speechley	Mark	MS	Speechley, Mark and Canada
Terry	Amanda	ALT	Terry, Amanda L
Thind	Amardeep	AT	Thind, Amardeep
Vingilis	Evelyn	ERV	Vingilis, Evelyn and Canada
Wilk	Piotr	PW	Wilk, Piotr and Canada
Zou	Guangyong	GZ	Zou, Guangyong
Zwarenstein	Merrick	MZ	Zwarenstein, Merrick and Canada
