lastname	forename	initials	query			
Briscoe	Graham	GAB	Graham Briscoe[Author]			
Brown	Judith Belle	JBB	Judith Belle Brown[Author]			
Carter	Kyle	KWC	Kyle William Carter[Author]			
Cejic	Sonny	SSC	Sonny Cejic[Author]			
Chan	Nelson	NC	Nelson Chan[Author] and Canada			
Cookson	Christina					
El-Chabib	Tarek	THEC	Tarek El-Chabib[Author]			
Grushka	Daniel	DHG	Daniel Grushka[Author]			
Hammond	Jo-Anne	JAH	Jo-Anne Hammond[Author]			
Harris-Schulz	Kyra					
Harris	Stewart	SBH	Stewart B Harris[Author]			
Hemphill	Andrew					
Howard	Jessica	JH	Jessica Howard[Author] and Canada			
Jan	Saadia	SJH	Saadia Hameed Jan[Author]			
Jevremovic	Tatiana	TJ	Tatiana Jevremovic[Author]			
Karaouzas	Theodosios					
Keren	Daniela	DK	Daniela Keren[Author]			
Kim	George	GPK	George P Kim[Author] and Canada			
Leger	Daniel	DL	Daniel Leger[Author] and Ontario			
Lyons	Laura	LL	Laura Lyons[Author] and Canada			
Malik	Shiraz	SM	Shiraz Malik[Author]			
Marcou	John					
Marshall	Nuala					
Mathews	Maria	MM	Maria Mathews[Author]			
McKay	Scott	SMK	Scott McKay[Author] and Canada NOT McKay SD			
McNair	Susan	SMMN	Susan McNair[Author]			
Milne	Kathleen					
Parr	Jennifer	JLP	Jennifer L Parr[Author]			
Pawelec-Brzychczy	Anna	APB	Anna Pawelec-Brzychczy[Author]			
Puente	Sara					
Putzer	Darryl					
Reichert	Sonja	SMR	Sonja M Reichert[Author]			
Reid	Graham	GJR	Graham J Reid[Author]			
Rubaiyyat	Tania					
Ryan	Bridget	BLR	Bridget L Ryan[Author]			
Sibbald	Shannon	SLS	Shannon Sibbald[Author]			
Schreier	Gil	GS	Gil Schreier[Author]			
Singh	Anita					
Taylor	Jay	JET	Jay E Taylor[Author]			
Terry	Amanda	ALT	Amanda Terry[Author]			
Thind	Amardeep	AT	Amardeep Thind[Author]			
Thornton	Jane	JST	Jane Thornton[Author]			
Valiquet	Stacey	SV	Stacey Valiquet[Author]			
Van Dam	Darren					
Vandewalle	Philip					
Wickett	Jamie	JW	Jamie Wickett[Author]			
Wong	Eric	EKWW	Eric K W Wong[Author]			
Zwarenstein	Merrick	MZ	Merrick Zwarenstein[Author]			
