lastname	forename	initials	query			
Bagur	Rodrigo	RB	Rodrigo Bagur[Author]			
Bergin	Lynn	LB	Lynn Bergin[Author]			
Blissett	Sarah	SB	Sarah Blissett[Author]			
Chandy	Mark	MC	Mark Chandy[Author]			
Davey	Ryan	RAD	Ryan Davey[Author] and Canada NOT Davey RE NOT Davey RJ NOT Davey RP			
De	Sabe	SKD	Sabe De[Author]			
Diamantouros	Pantelis	PD	Pantelis Diamantouros[Author]			
Dias	Bryan	BFD	Bryan Dias[Author]			
Durocher	Daniel	DD	Daniel Durocher[Author] and Western University			
Elrayes	Maged	ME	Maged Elrayes[Author]			
Garg	Pallav	PG	Pallav Garg[Author] NOT Gandhi			
Gula	Lorne	LJG	Lorne Gula[Author]			
Huitema	Ashlay	AAH	Ashlay Huitema[Author]			
Khan	Habib	HRK	Habib Rehman Khan[Author]			
Klein	George	GJK	George J Klein[Author]			
Lavi	Shahar	SL	Shahar Lavi[Author]			
Leong-Sit	Peter	PLS	Peter Leong-Sit[Author]			
Manlucu	Jaimie	JM	Jaimie Manlucu[Author]			
Mathew	Andrew	AM	Andrew Mathew[Author]			
McCarty	David	DMC	David McCarty[Author] NOT McCarty DE NOT McCarty DA			
McKelvie	Robert	RSMK	Robert McKelvie[Author]			
McPherson	Terrence					
Pickering	Geoffrey	JGP	J Geoffrey Pickering[Author]			
Shoemaker	Gerard	GS	Gerard Shoemaker[Author]			
Siu	Samuel	SCS	Samuel Siu[Author]			
Skanes	Allan	ACS	Allan Skanes[Author]			
Smith	Stuart	SJS	Stuart J Smith[Author] and Canada			
Sridhar	Kumar		Kumar Sridhar[Author] NOT Kumar SP NOT Kumar SS			
Suskin	Neville	NGS	Neville Suskin[Author]			
Tang	Anthony	ASLT	Anthony S L Tang[Author]			
Teefy	Patrick	PT	Patrick Teefy[Author]			
Thain	Andrew	APT	Andrew Thain[Author]			
Tzemos	Niko	NT	Niko Tzemos[Author]			
Ward	Michael	MRW	Michael R Ward[Author] and Canada			
Yee	Raymond	RY	Raymond Yee[Author] and cardiology and Canada			
Ybarra	Luiz	LFY	Luiz F Ybarra[Author]			
