lastname	forename	initials	query			
Ball	Ian	IMB	Ian Ball[Author]			
Haddara	Wael	WMRH	Wael Haddara[Author]			
Arntfield	Rob	RTA	Robert Arntfield[Author] and Canada			
Slessarev	Marat	MS	Marat Slessarev[Author]			
Cameron	Paul	PAC	cameron + paul [au] + critical care			
Bosma	Karen	KJB	Karen Bosma[Author]			
Leeper	Robert	WRL	W Robert Leeper[Author]			
Prager	Ross	RTP	Ross Prager[Author]			
Sefein	Osama	OS	Osama Sefein[Author]			
Anderson	Scott	SA	Scott Anderson[Author] and Canada and critical NOT Anderson SA			
Basmaji	John	JB	John Basmaji[Author]			
Champion	Lois					
Kao	Raymond	RK	Raymond Kao[Author] and Western University			
Landau	John	JHL	John Landau[Author]			
Leasa	David	DL	David Leasa[Author]			
Nagpal	Dave	ADN	A Dave Nagpal[Author]			
Parry	Neil	NGP	Neil G Parry[Author]			
Sen	Mithu	MS	Mithu Sen[Author]			
Weijer	Chris	CW	Charles Weijer[Author]			
