lastname	forename	initials	query			
van Uum	Stan	SVU	Stan van Uum[Author]			
Morrison	Deric	DM	Deric Morrison[Author]			
Hramiak	Irene	IMH	Irene Hramiak[Author]			
Berberich	Amanda	AJB	Amanda J Berberich[Author]			
Clemens	Kristin	KKC	Kristin K Clemens[Author]			
Hegele	Robert	RAH	Robert A Hegele[Author]			
Joy	Tisha	TRJ	Tisha Joy[Author]			
Khan	Tayyab	TSK	Tayyab S Khan[Author]			
Liu	Selina	SLL	Selina L Liu[Author]			
Mahon	Jeff	JLM	Jeff Mahon[Author]			
McDonald	Charlotte	CGMD	Charlotte McDonald[Author] and Canada			
McManus	Ruth	RMM	Ruth McManus[Author] and Canada			
Paul	Terri	TP	Terri Paul[Author]			
Spaic	Tamara	TS	Tamara Spaic[Author]			
