lastname	forename	initials	query			
Arab	Juan Pablo	JPA	Juan Pablo Arab[Author]			
Asfaha	Samuel	SA	Samuel Asfaha[Author]			
Beaton	Melanie	MDB	Melanie Beaton[Author]			
Feagan	Brian	BGF	Brian G Feagan[Author]			
Gregor	Jamie	JG	Jamie Gregor[Author] and Canada			
Hussain	Nadeem	NH	Nadeem Hussain[Author] and Canada			
Jairath	Vipul	VJ	Vipul Jairath[Author] and Western University			
Khan	Quasim	MQK	Mohammad Qasim Khan[Author]			
Khanna	Nitin	NVK	Nitin Khanna[Author]			
Khanna	Reena	RK	Reena Khanna[Author]			
Marotta	Paul	PM	Paul Marotta[Author] and Canada			
McIntosh	Keith	KSM	Keith McIntosh[Author] NOT McIntosh KR			
Ponich	Terry	TP	Terry Ponich[Author]			
Qumosani	Karim	KMQ	Karim Qumosani[Author]			
Rahman	Adam	AR	Adam Rahman[Author] NOT Rahman AD			
Sandhu	Amindeep	AS	Amindeep Sandhu[Author]			
Sey	Michael	MSS	Michael Sey[Author]			
Teriaky	Anouar	AT	Anouar Teriaky[Author]			
Yan	Brian	BMY	Brian M Yan[Author]			
