lastname	forename	initials	query
Abdul-Karim	Rasha	RAK	
Appleton	Andrew	AJA	Andrew Appleton[Author]
Brownscombe	Larry		
Dresser	George	GKD	George Dresser[Author]
Ernst	Jaclyn	JE	Jaclyn Ernst[Author]
Fayowski	Cassie		
Geukers	Karen		
Gilbert	Kenneth	KG	Kenneth Gilbert[Author] and Canada
Goldszmidt	Mark	MG	Mark Goldszmidt[Author]
Jones 	Emily		
Moore	Mary		
Mrkobrada	Marko	MM	Marko Mrkobrada[Author]
Myers	Kathryn	KAM	Kathryn A Myers[Author]
Phung	Marilyn		
Salim	Hatem		
Spicer	Erin	ES	Erin Spicer[Author]
Sun	Dongmei	DS	"Dongmei Sun[Author] and “Western University"""
Wyllie	Blair		
Yu	Jeff	JY	Jeff Yu[Author] and Canada
Zafar	Saira		
