lastname	forename	initials	query			
Lazo-Langner	Alejandro	ALL	Alejandro Lazo-Langner[Author]			
Barghi	Arvand					
Deotare	Uday	UD	Uday Deotare[Author]			
Foster	Cheryl	CF	Cheryl Foster[Author]			
Gob	Alan	AG	Alan Gob[Author]			
Ho	Jenny	JMH	Jenny M Ho[Author]			
Hsia	Cyrus	CCH	Cyrus Hsia[Author]			
Kovacs	Michael	MJK	Michael J Kovacs[Author] and Canada			
Lam	Selay	SL	Selay Lam[Author]			
Louzada	Martha	MLL	louzada ML[AU] AND Canada			
Mangel	Joy	JM	Joy Mangel[Author]			
Mount	Gillian	GM	Gillian Mount[Author]			
Philip	Shona	SP	Shona Philip[Author]			
Phua	Chai	CWP	Chai Phua[Author]			
Saini	Lalit	LKS	Lalit Saini[Author]			
Solh	Zaid	ZS	Ziad Solh[Author]			
To	Eric	EST	Eric To[Author]			
Xenocostas	Anargyros	AX	Anargyros Xenocostas[Author]			
