lastname	forename	initials	query			
Amann	Justin	JA	Justin Amann[Author]			
Accorsi	Fabio	FA	Fabio Accorsi[Author]			
Ben Nachum	Ilanit	IBN	Ilanit Ben Nachum[Author]			
Dawson	William					
Garvin	Greg	GG	Greg Garvin[Author]			
Grisaru Kacen	Maya	MGK	Maya Grisaru Kacen[Author]			
Hocking	David	DH	David Hocking[Author] NOT Hocking DP			
Howey	Joanne	JMH	Joanne Howey[Author]			
Ilsam	Ali	AI	Ali Islam[Author] and Canada			
Kalia	Vibhuti	VbK	Vibhuti Kalia[Author]			
Kalia	Vishal	VsK	Vishal Kalia[Author]			
Kassam	Zahra	ZK	Zahra Kassam[Author] and Canada			
Kornecki	Anat	AK	Anat Kornecki[Author]			
Kozak	Roman	RIK	Roman Kozak[Author]			
Mangat	Arvindpaul	AM	Arvindpaul Mangat[Author]			
Meglei	Gabriela	GMe	Gabriela Meglei[Author]			
Muscedere	Giulio	GMu	Giulio Muscedere[Author]			
Ohorodnyk	Pavlo	PO	Pavlo Ohorodnyk[Author]			
Osman	Said	SO	Said Osman[Author] NOT El-Said NOT Osman SG NOT Osman SM			
Pavlosky	William	WFP	William Pavlosky[Author]			
Randhawa	Shubreet	SR	Shubreet Randhawa[Author]			
Sacilotto Crivellaro	Priscila	PSC	Priscila Sacilotto Crivellaro[Author]			
Shmuilovich	Olga	OS	Olga Shmuilovich[Author] and Canada			
Taves	Donald	DHT	Donald Taves[Author] NOT Taves DR			
Wang	David	DCW	David Chenhan Wang[Author]			
Sharma	Manas	MS	Manas Sharma[Author] and Canada			
Ahmed	Mobeen	MA	"""Ahmed Mobeen""[Author]"			
Bach	David	DB	David Bach[Author] AND Canada NOT Bach DS			
Chan	Ian	IYMC	Ian Y M Chan[Author]			
Etemad-Rezai	Roya	RER	Roya Etemad-Rezai[Author]			
Goela	Aashish	AG	Aashish Goela[Author]			
Kiwan	Ruba	RNMK	Ruba Kiwan[Author]			
Lee	Donald	DL	Donald Lee[Author] AND Canada NOT Lee DH			
Mayich	Michael	MSM	Michael Mayich[Author]			
Milroy	Lindsay					
O'Riordan	Elaine					
Pandey	Sachin	SKP	Sachin K Pandey[Author]			
Paul	Narinder	NSP	Narinder S Paul[Author]			
Peck	David	DP	David Peck[Author] AND Canada NOT Peck DT NOT Peck DV NOT Peck DM NOT Peck DD			
Pelz	David	DMP	David M Pelz[Author]			
Ramsewak	Darryl	DR	Darryl Ramsewak			
Spouge	Alison	ARIS	Alison Spouge[Author]			
Ross	Ian	IGR	Ian G Ross[Author]			
AbdelRazek	Mohamed	MMMAR	Mohamed M M AbdelRazek[Author]			
Bhaduri	Mousumi	MB	Mousumi Bhaduri[Author]			
Brahm	Gary	GLB	Gary Brahm[Author]			
Cardarelli Leite	Leandro	LCL	Leandro Cardarelli Leite[Author]			
Chong	Jaron	JC	Jaron Chong[Author]			
Cool	Derek	DWC	Derek Cool[Author]			
Garcia	Maria-Paz	MPG	Maria Paz Garcia[Author]			
Haddad	Richard					
Hiremath	Shivaprakash	SBH	Shivaprakash B Hiremath[Author]			
Kribs	Stewart	SWK	Stewart Kribs[Author]			
Leung	Andrew	AEL	Andrew Leung[Author] and Western University			
Leung	Stephanie	SEL	Stephanie Leung[Author] and Western University			
Lum	Andrea	PAL	P Andrea Lum[Author]			
McKillop	Scott	SMK	Scott McKillop[Author]			
Mujoomdar	Amol	AM	amol mujoomdar[Author]			
Sathiadoss	Paul	PS	Paul Sathiadoss[Author]			
Sivakumaran	Lojan	LS	Lojan Sivakumaran[Author]			
Tay	Keng Yeow	KYT	Keng Yeow Tay[Author]			
Wiseman	Daniele	DPW	Daniele Wiseman[Author]			
Zaleski	Witek	WZ	Witek Zaleski[Author]			
Romsa	Jonathan	JGR	Jonathan Romsa[Author]			
Akincioglu	Cigdem	CA	Cigdem Akincioglu[Author]			
Laidley	David	DTL	David Laidley[Author]			
Rachinsky	Irina	IR	Irina Rachinsky[Author]			
Sutherland	Duncan	DEKS	Duncan E K Sutherland[Author]			
Vezina	William	WCV	William C Vezina[Author]			
Warrington	James	JCW	James Warrington[Author]			
Kovacs	Michael	MSK	Michael S Kovacs[Author]			
Lee	Ting-Yim	TYL	Ting-Yim Lee[Author]			
Legros	Alexandre	AGL	Alexandre Legros[Author]			
Prato	Frank	FSP	Frank S Prato[Author]			
Stodilka	Robert	RZS	Robert Stodilka[Author]			
Theberge	Jean	JT	Jean Theberge[Author]			
Thiessen	Jonathan	JDT	Jonathan Thiessen[Author]			
