lastname	forename	initials	query			
Silverman	Michael	MSS	Michael Silverman[Author] and Canada NOT Silverman MA NOT Silverman MH NOT Silverman ME NOT Silverman MJ NOT Silverman MG			
Bondy	Lise	LCB	Lise Bondy[Author]			
Shalhoub	Sarah	SS	Sarah Shalhoub[Author]			
Devlin	Megan	MKD	Megan Devlin[Author]			
Saeed	Huma	HS	Huma Saeed NOT Zealand			
Rahimi	Reza	MRRS	Rahimishahmirzadi[Author] OR Rahimi Shahmirzadi[Author]			
Ouellette	Danielle	DO	Danielle Ouellette[Author]			
Parvathy	Seema	SNP	Seema N Parvathy[Author]			
Shojaei	Esfandiar	ES	Esfandiar Shojaei[Author]			
