lastname	forename	initials	query			
House	Andrew	AAH	Andrew A House[Author]			
Rehman	Faisal	FR	Faisal Rehman[Author] and Canada NOT Rehman FU			
Lotfy	Khaled	KL	Khaled Lotfy[Author]			
Johnson	John	JJ	John Johnson[Author] and Canada and nephrology			
Sultan	Nabil	NS	Nabil Sultan[Author] and Canada			
Jain	Arsh	AKJ	Arsh Jain[Author]			
Huang	Susan	SHSH	Susan Huang[Author] AND Canada NOT Huang SS NOT Huang SJ NOT Huang SM			
Garg	Amit	AXG	Amit X Garg[Author] and nephrology			
Blake	Peter	PGB	Peter G Blake[Author]			
McIntyre	Chris	CWM	Chris W McIntyre[Author]			
Moist	Louise	LMM	Louise Moist[Author]			
Cowan	Andrea	ACC	Andrea Cowan[Author]			
Chiu	Michael	MC	Michael Chiu[Author] and western university			
Iyer	Hariharan	HI	Hariharan S Iyer[Author]			
Weir	Matthew	MAW	Matthew A Weir[Author] and Canada			
Connaughton	Dervia	DMC	Dervla M Connaughton[Author]			
Roshanov	Pavel	PSR	Pavel S Roshanov[Author]			
