lastname	forename	initials	query			
McCormack	David	DGMC	David G McCormack[Author]			
Nicholson	Michael	JMH	J Michael Nicholson[Author]			
Yamashita	Cory	CY	Cory Yamashita[Author]			
Dhaliwal	Inderdeep	ID	Inderdeep Dhaliwal[Author]			
Kashigari	Alia	AK	Alia Kashgari[Author]			
Bhalla	Anurag	AB	Anurag Bhalla[Author]			
Mitchell	Michael	MAM	Michael A Mitchell[Author]			
Serajeddini	Hana	HS	Hana Serajeddini[Author]			
Mura	Marco	MM	Marco Mura[Author] and respirology			
Mehta	Sanjay	SM	Sanjay Mehta[Author] and (Western University OR McGill) NOT Mehta SR			
Mackenzie	Constance	CM	Constance Mackenzie[Author]			
Licskai	Christopher	CJL	Christopher Licskai[Author]			
Reisman	Will	WR	William Reisman[Author] and Canada			
Veldhuizen	Ruud	RAWV	Ruud A W Veldhuizen[Author]			
Gill	Sean	SEG	Sean E Gill[Author]			
