lastname	forename	initials	query		
Dekaban	Gregory	GAD	"Dekaban, Gregory"		
Arts	Eric	EJA	"Arts, Eric"		
Barr	Stephen	SDB	"Barr, Stephen D"		
Barra	Lillian	LB	"Barra, Lillian"		
Burton	Jeremy	JPB	"Burton, Jeremy NOT Burton, JB NOT Burton, JC NOT Genentech"		
Cairns	Ewa	EC	"Cairns, Ewa"		
Colby	David	WDC	"Colby, W D and Canada"		
Creuzenet	Carole	CC	"Creuzenet, Carole"		
DeKoter	Rodney	RPDK	"DeKoter, Rodney P"		
Dikeakos	Jimmy	JDD	"Dikeakos, Jimmy D"		
Guariglia	Veronica	VGO	"Guariglia Oropeza, Veronica"		
Gunaratnam	Lakshman	LG	"Gunaratnam, Lakshman"		
Guthrie	Jennifer	JLG	"Guthrie, Jennifer L"		
Haeryfar	Mansour	SMMH	"Haeryfar, S M Mansour"		
Heinrichs	David	DEH	"Heinrichs, David E"		
Heit	Bryan	BH	"Heit, Bryan"		
Jevnikar	Tony	AMJ	"Jevnikar, Anthony M"		
Kang	C. Yong	CYK	"Kang, CY and (Ontario OR Texas)"		
Kerfoot	Steven	SMK	"Kerfoot, Steven M"		
Kim	Sung	SOK	"Kim, Sung Ouk"		
Koropatnick	James	JK	"Koropatnick, James"		
Leligdowicz	Aleksandra	AL	"Leligdowicz, Aleksandra"		
McCormick	John	JKM	"McCormick, John K"		
McGavin	Martin	MJM	"McGavin, Martin J"		
Mymryk	Joe	JSM	"Mymryk, Joe S"		
Prodger	Jessica	JLP	"Prodger, Jessica L"		
Reid	Gregor	GR	"Reid, Gregor NOT Gregor S D Reid"		
Sener	Alp	AS	"Sener, Alp and Canada"		
Singh	Bhagirath	BS	"Singh, Bhagirath"		
Troyer	Ryan	RT	"Troyer, Ryan"		
Zukowski	Stephanie	SAZ	"Zukowski, Stephanie"		
