lastname	forename	initials	query			
Azarpazhooh	Reza	MRA	M Reza Azarpazhooh[Author] NOT Mahmoud Reza Azarpazhooh			
Bogiatzi	Chrysi	CB	Chrysi Bogiatzi[Author]			
Burneo	Jorge	JGB	Jorge G Burneo[Author]			
Budhram	Adrian	AB	Adrian Budhram[Author]			
Casserly	Courtney	CSC	Courtney Casserly[Author]			
Chan	Richard	RC	"Richard Chan[Author] and ""Western University"""			
Chan	Lik Hang Tommy	TLHC	Tommy L H Chan[Author]			
Cooper	Paul	PEC	Paul E Cooper[Author]			
Dash	Deepa	DD	Deepa Dash[Author]			
Debicki	Derek	DBD	Derek Debicki[Author]			
Diosy	David	DCD	David Diosy[Author]			
Finger	Elizabeth	ECF	Elizabeth Finger[Author]			
Florendo-Cumbermack	Anita	AFC	Anita Florendo-Cumbermack[Author]			
Fraser	Alexander	JAF	J Alexander Fraser[Author]			
Fridman	Sebastian	SF	Sebastian Fridman[Author]			
Gofton	Teneille	TEG	Teneille Gofton[Author]			
Hachinski	Vladimir	VH	Vladimir Hachinski[Author]			
Jenkins	Mary	MEJ	Mary E Jenkins[Author]			
Jog	Mandar	MSJ	Mandar Jog[Author]			
Jones	Michelle-Lee	MLJ	Michelle-Lee Jones[Author]			
Khaw	Alexander	AVK	Alexander Khaw[Author]			
MacDonald	Penny	PAMD	Penny A MacDonald[Author]			
Mai	Lauren	LMM	Lauren M Mai[Author]			
Mandzia	Jennifer	JLM	Jennifer Mandzia[Author]			
Markovic	Nevena	NM	Nevena Markovic[Author]			
Mirsattari	Seyed	SMM	Seyed Mirsattari[Author]			
Moulin	Dwight	DEM	Dwight Moulin[Author]			
Murgai	Aditya	AAM	Aditya Murgai[Author]			
Nicolle	Michael	MWN	Michael Nicolle[Author]			
Pasternak	Stephen	SHP	Stephen Pasternak[Author]			
Pellegrino	Giovanni	GP	Giovanni Pellegrino[Author]			
Racosta	Juan	JMR	Juan Racosta[Author]			
Shoesmith	Christen	CS	Christen Shoesmith[Author]			
Marti	Ana Suller	ASM	Ana Suller Marti[Author]			
Venance	Shannon	SLV	Shannon Venance[Author]			
Watling	Christopher	CJW	Christopher J Watling[Author]			
Yu	Joe	YJY	Yeyao Joe Yu[Author]			
Steven	David	DAS	David A Steven[Author]			
Boulton	Mel	MB	Mel Boulton[Author]			
de Ribaupierre	Sandrine	SDR	Sandrine de Ribaupierre[Author]			
Duggal	Neil	ND	Neil Duggal[Author]			
Hebb	Matthew	MOH	Matthew Hebb[Author]			
Lau	Jonathan	JCL	Jonathan C Lau[Author]			
MacDougall	Keith	KWMD	Keith MacDougall[Author]			
Megyesi	Joseph	JFM	Joseph F Megyesi[Author]			
Ng	Wai	WPN	Wai P Ng[Author] and Canada			
Ranger	Adrianna	AR	Adrianna Ranger[Author]			
Siddiqi	Fawaz	FS	Fawaz Siddiqi[Author]			
Yang	Victor	VXDY	Victor X D Yang[Author]			
