lastname	forename	initials	query			
Hardy	Daniel	DBH	Daniel B Hardy[Author]			
Regnault	Timothy	TRHR	Timothy R H Regnault[Author]			
Shepherd	Trevor	TGS	Trevor G Shepherd[Author]			
Nisker	Jeff	JN	Jeff Nisker[Author]			
Akhtar	Saima					
Black	Stephanie					
Chan	Cynthia	CC	Cynthia Chan[Author] and gynecology			
Crumley	Tracey					
Di Cecco	Robert	RDC	Robert Di Cecco[Author]			
King	Carol	CPK	Carol King[Author] NOT King CA NOT Virginia			
Kirby	Joanne					
Lovett	Erin	EL	Erin Lovett[Author]			
Maruncic	Michael					
Penava	Debbie	DP	Debbie Penava[Author]			
Sovran	Laura					
Taylor	Taryn	TST	Taryn Taylor[Author] NOT Taylor TR NOT sport			
Usher	Kaysie					
Vilos	George	GAV	George A Vilos[Author]			
Jang	Ji-Hyun	JHJ	Ji-Hyun Jang[Author] AND oncology			
McGee	Jacob	JMG	Jacob McGee[Author]			
Salman	Lina	LS	Lina Salman[Author]			
Sugimoto	Akira	AS	Akira Sugimoto[Author] and Canada			
Kuzma	Tamara	TK	Tamara Kuzma[Author]			
Banner	Harrison	HB	Harrison Banner[Author]			
de Vrijer	Barbra	BV	Barbra de Vrijer[Author]			
Eastabrook	Genevieve	GE	Genevieve Eastabrook[Author]			
Gratton	Robert	RJG	Robert Gratton[Author]			
Hutson	Janine	JRH	Janine R Hutson[Author]			
Schmidt	Jordan					
Abu-Rafea	Basim	BAR	Basim Abu Rafea[Author]			
Hollett-Caines	Jackie	JHC	Jackie Hollett-Caines[Author]			
Rebel	Maggie	MR	Margaretha Rebel[Author] OR Maggie Rebel[Author]			
Chou	Queena	QC	Queena Chou[Author]			
Leong	Yvonne	YL	Yvonne Leong[Author]			
MacMillan	Barry	JBMM	Barry MacMillan[Author]			
